,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
HOME,November,215,NBA,,1.00,SPREAD,1.91,win,0.91,3.25,Wednesday,109,-19.23,✅,lose,-1.00,OV
HOME,November,233,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Wednesday,110,-18.32,✅,lose,-1.00,OV
AWAY,November,225,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Wednesday,111,-17.41,✅,lose,-1.00,OV
HOME,November,237,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Wednesday,112,-16.50,✅,lose,-1.00,UN
AWAY,November,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.30,Wednesday,113,-17.50,❌,win,2.3,OV
HOME,November,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Wednesday,114,-18.50,❌,lose,-1.00,OV
HOME,November,215,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Wednesday,115,-17.59,✅,lose,-1.00,UN
HOME,November,237.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,5.75,Wednesday,116,-16.68,✅,lose,-1.00,UN
AWAY,November,226.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.25,Thursday,117,-15.77,✅,lose,-1.00,OV
HOME,November,232,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Thursday,118,-14.86,✅,lose,-1.00,UN
HOME,November,217,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.45,Thursday,119,-13.95,✅,lose,-1.00,OV
AWAY,November,235.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.20,Friday,120,-14.95,❌,win,2.2,UN
HOME,November,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Friday,121,-15.95,❌,lose,-1.00,OV
HOME,November,210,NBA,,1.00,SPREAD,1.91,win,0.91,3.70,Friday,122,-15.04,✅,lose,-1.00,UN
HOME,November,220.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.75,Friday,123,-16.04,❌,lose,-1.00,UN
HOME,November,230,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Friday,124,-15.13,✅,lose,-1.00,OV
HOME,November,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Friday,125,-16.13,❌,win,1.2,UN
HOME,November,223.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Friday,126,-15.22,✅,lose,-1.00,UN
HOME,November,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Friday,127,-14.31,✅,lose,-1.00,OV
