,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
AWAY,December,216.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Sunday,1607,-101.92,❌,win,1.35,UN
AWAY,December,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Sunday,1608,-102.92,❌,win,1.6,OV
HOME,December,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.50,Sunday,1609,-103.92,❌,lose,-1.00,UN
AWAY,December,237.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,9.00,Sunday,1610,-104.92,❌,lose,-1.00,UN
AWAY,December,223,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,5.45,Sunday,1611,-105.92,❌,win,4.45,OV
HOME,December,239.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.75,Monday,1612,-106.92,❌,lose,-1.00,OV
HOME,December,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.50,Monday,1613,-107.92,❌,lose,-1.00,UN
AWAY,December,241,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Monday,1614,-108.92,❌,win,0.95,UN
HOME,December,251.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Monday,1615,-108.01,✅,lose,-1.00,UN
HOME,December,234,NBA,,1.00,SPREAD,1.91,win,0.91,8.50,Monday,1616,-107.10,✅,lose,-1.00,UN
HOME,December,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Monday,1617,-106.19,✅,lose,-1.00,UN
AWAY,December,234.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.00,Monday,1618,-105.28,✅,lose,-1.00,UN
HOME,December,239,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.05,Tuesday,1619,-104.37,✅,lose,-1.00,UN
HOME,December,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.10,Tuesday,1620,-105.37,❌,win,3.1,OV
HOME,December,254.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Tuesday,1621,-106.37,❌,win,1.3,UN
HOME,December,241.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Tuesday,1622,-105.46,✅,lose,-1.00,OV
AWAY,December,217,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Tuesday,1623,-104.55,✅,lose,-1.00,UN
HOME,December,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Tuesday,1624,-105.55,❌,win,1.75,UN
AWAY,December,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.95,Tuesday,1625,-106.55,❌,win,1.95,OV
HOME,December,230,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Tuesday,1626,-105.64,✅,lose,-1.00,UN
AWAY,December,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.95,Tuesday,1627,-106.64,❌,win,1.95,OV
HOME,December,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Tuesday,1628,-105.73,✅,lose,-1.00,OV
AWAY,December,242.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Tuesday,1629,-104.82,✅,lose,-1.00,OV
AWAY,December,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Tuesday,1630,-103.91,✅,lose,-1.00,UN
AWAY,December,219,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.30,Tuesday,1631,-104.91,❌,win,2.3,OV
HOME,December,241.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.80,Thursday,1632,-105.91,❌,lose,-1.00,OV
HOME,December,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.90,Thursday,1633,-106.91,❌,win,2.9,UN
HOME,December,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.65,Thursday,1634,-106.00,✅,lose,-1.00,OV
AWAY,December,233,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Thursday,1635,-105.09,✅,lose,-1.00,UN
HOME,December,238.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,1.95,Thursday,1636,-104.18,✅,lose,-1.00,OV
HOME,December,238.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,1.95,Thursday,1637,-103.27,✅,lose,-1.00,OV
HOME,December,250.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,1638,-104.27,❌,win,1.3,UN
AWAY,December,222,NBA,,1.00,SPREAD,1.91,win,0.91,3.65,Friday,1639,-103.36,✅,lose,-1.00,OV
HOME,December,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.90,Friday,1640,-104.36,❌,win,1.9,UN
AWAY,December,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.60,Friday,1641,-105.36,❌,win,2.6,OV
AWAY,December,241.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Friday,1642,-106.36,❌,win,1.05,UN
HOME,December,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.70,Friday,1643,-105.45,✅,lose,-1.00,OV
AWAY,December,241.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Friday,1644,-104.54,✅,lose,-1.00,UN
AWAY,December,245,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Friday,1645,-105.54,❌,win,3.25,OV
AWAY,December,226.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.25,Friday,1646,-104.63,✅,lose,-1.00,UN
AWAY,December,233,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.25,Saturday,1647,-105.63,❌,win,1.25,UN
AWAY,December,240.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Saturday,1648,-104.72,✅,lose,-1.00,UN
AWAY,December,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Saturday,1649,-105.72,❌,win,1.45,OV
AWAY,December,244,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.85,Saturday,1650,-106.72,❌,lose,-1.00,OV
HOME,December,234,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Saturday,1651,-107.72,❌,win,1.1,UN
HOME,December,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Saturday,1652,-106.81,✅,lose,-1.00,UN
HOME,December,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Saturday,1653,-105.90,✅,lose,-1.00,OV
HOME,December,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.50,Saturday,1654,-106.90,❌,win,4.5,OV
HOME,December,244,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,6.25,Saturday,1655,-107.90,❌,win,5.25,UN
HOME,December,226.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,6.50,Sunday,1656,-106.99,✅,lose,-1.00,OV
AWAY,December,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Sunday,1657,-107.99,❌,win,1.5,OV
AWAY,December,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Sunday,1658,-108.99,❌,win,2.2,UN
AWAY,December,241,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Sunday,1659,-109.99,❌,win,2.35,UN
AWAY,December,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Sunday,1660,-110.99,❌,win,1.35,UN
HOME,December,232,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.90,Sunday,1661,-110.08,✅,lose,-1.00,UN
AWAY,December,227.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.30,Monday,1662,-109.17,✅,lose,-1.00,OV
AWAY,December,233,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Monday,1663,-108.26,✅,lose,-1.00,UN
AWAY,December,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Monday,1664,-107.35,✅,lose,-1.00,OV
AWAY,December,244,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Monday,1665,-108.35,❌,win,1.05,OV
AWAY,December,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Monday,1666,-109.35,❌,win,1,OV
AWAY,December,243.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Monday,1667,-108.44,✅,lose,-1.00,UN
HOME,December,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.25,Monday,1668,-109.44,❌,lose,-1.00,OV
AWAY,December,247,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.75,Monday,1669,-110.44,❌,lose,-1.00,OV
HOME,December,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.50,Monday,1670,-111.44,❌,lose,-1.00,OV
HOME,December,243.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Monday,1671,-112.44,❌,win,1.3,UN
HOME,December,234,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,1.95,Tuesday,1672,-113.44,❌,win,0.95,OV
AWAY,December,244,NBA,,1.00,SPREAD,1.91,win,0.91,3.30,Tuesday,1673,-112.53,✅,lose,-1.00,OV
AWAY,December,233,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Tuesday,1674,-111.62,✅,lose,-1.00,OV
HOME,December,218.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.25,Tuesday,1675,-110.71,✅,lose,-1.00,OV
AWAY,December,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Wednesday,1676,-111.71,❌,win,1.45,UN
AWAY,December,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Wednesday,1677,-112.71,❌,lose,-1.00,UN
HOME,December,233,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Wednesday,1678,-111.80,✅,lose,-1.00,OV
HOME,December,249,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Wednesday,1679,-110.89,✅,lose,-1.00,OV
HOME,December,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Wednesday,1680,-111.89,❌,lose,-1.00,OV
HOME,December,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Wednesday,1681,-112.89,❌,win,2.1,UN
HOME,December,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Wednesday,1682,-113.89,❌,win,3.75,UN
HOME,December,232.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,7.50,Wednesday,1683,-112.98,✅,lose,-1.00,UN
AWAY,January,216.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,5.00,Thursday,1684,-112.07,✅,lose,-1.00,UN
HOME,January,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Thursday,1685,-113.07,❌,win,1.6,UN
AWAY,January,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Thursday,1686,-112.16,✅,lose,-1.00,UN
AWAY,January,229,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Thursday,1687,-111.25,✅,lose,-1.00,UN
HOME,January,230.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,7.00,Thursday,1688,-110.34,✅,lose,-1.00,UN
AWAY,January,238.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.75,Friday,1689,-109.43,✅,lose,-1.00,UN
HOME,January,224,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Friday,1690,-108.52,✅,lose,-1.00,UN
HOME,January,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Friday,1691,-109.52,❌,lose,-1.00,UN
HOME,January,240,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Friday,1692,-110.52,❌,win,1.75,UN
AWAY,January,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Friday,1693,-111.52,❌,win,1.65,OV
HOME,January,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.90,Friday,1694,-112.52,❌,lose,-1.00,OV
AWAY,January,240.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Friday,1695,-111.61,✅,lose,-1.00,UN
HOME,January,223.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.25,Friday,1696,-110.70,✅,lose,-1.00,OV
AWAY,January,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.75,Friday,1697,-109.79,✅,lose,-1.00,UN
HOME,January,241,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.75,Friday,1698,-108.88,✅,lose,-1.00,OV
AWAY,January,235.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.20,Saturday,1699,-107.97,✅,lose,-1.00,OV
HOME,January,234,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Saturday,1700,-108.97,❌,win,1.35,OV
HOME,January,231,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Saturday,1701,-108.06,✅,lose,-1.00,OV
HOME,January,240.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Saturday,1702,-109.06,❌,win,1,UN
HOME,January,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.60,Saturday,1703,-110.06,❌,win,2.6,UN
AWAY,January,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.55,Saturday,1704,-111.06,❌,win,2.55,UN
HOME,January,247.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.90,Saturday,1705,-112.06,❌,lose,-1.00,UN
HOME,January,220,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.00,Saturday,1706,-113.06,❌,win,1,OV
HOME,January,237,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.45,Sunday,1707,-114.06,❌,win,1.45,UN
HOME,January,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Sunday,1708,-113.15,✅,lose,-1.00,OV
AWAY,January,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Sunday,1709,-114.15,❌,win,1.25,OV
HOME,January,248,NBA,,1.00,SPREAD,1.91,win,0.91,3.50,Sunday,1710,-113.24,✅,lose,-1.00,UN
AWAY,January,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Sunday,1711,-112.33,✅,lose,-1.00,OV
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Sunday,1712,-113.33,❌,win,3,UN
AWAY,January,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Sunday,1713,-112.42,✅,lose,-1.00,UN
HOME,January,233,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.00,Monday,1714,-113.42,❌,win,1,UN
AWAY,January,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Monday,1715,-112.51,✅,lose,-1.00,UN
HOME,January,236,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Monday,1716,-111.60,✅,lose,-1.00,UN
HOME,January,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.50,Monday,1717,-112.60,❌,lose,-1.00,UN
HOME,January,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.00,Monday,1718,-113.60,❌,win,7,UN
HOME,January,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.25,Monday,1719,-114.60,❌,win,6.25,OV
AWAY,January,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Monday,1720,-115.60,❌,win,1.35,UN
HOME,January,241,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.85,Monday,1721,-116.60,✅,lose,-1.00,OV
AWAY,January,236.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.00,Tuesday,1722,-115.69,❌,lose,-1.00,UN
AWAY,January,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Tuesday,1723,-116.69,❌,win,2.35,UN
AWAY,January,237.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Tuesday,1724,-117.69,❌,win,2,UN
HOME,January,238.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.75,Tuesday,1725,-116.78,✅,lose,-1.00,UN
AWAY,January,244.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Tuesday,1726,-115.87,✅,lose,-1.00,UN
AWAY,January,232.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.70,Tuesday,1727,-116.87,❌,lose,-1.00,UN
HOME,January,230.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.90,Wednesday,1728,-117.87,❌,win,2.9,UN
AWAY,January,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Wednesday,1729,-118.87,❌,lose,-1.00,UN
HOME,January,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.90,Wednesday,1730,-117.96,✅,lose,-1.00,UN
HOME,January,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.75,Wednesday,1731,-117.05,✅,lose,-1.00,OV
HOME,January,246.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Wednesday,1732,-116.14,✅,lose,-1.00,UN
AWAY,January,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Wednesday,1733,-117.14,❌,lose,-1.00,UN
HOME,January,223,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Wednesday,1734,-116.23,✅,lose,-1.00,OV
AWAY,January,231,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Wednesday,1735,-115.32,✅,lose,-1.00,UN
HOME,January,241.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.00,Wednesday,1736,-116.32,❌,lose,-1.00,OV
HOME,January,233.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.50,Wednesday,1737,-115.41,✅,lose,-1.00,UN
HOME,January,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Wednesday,1738,-114.50,✅,lose,-1.00,OV
AWAY,January,221,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.20,Wednesday,1739,-115.50,❌,win,2.2,UN
HOME,January,232.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.60,Thursday,1740,-116.50,❌,win,1.6,UN
HOME,January,239,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,1741,-115.59,✅,lose,-1.00,OV
AWAY,January,243,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.60,Thursday,1742,-116.59,❌,win,1.6,UN
HOME,January,223.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,4.25,Friday,1743,-117.59,❌,lose,-1.00,OV
AWAY,January,227,NBA,,1.00,SPREAD,1.91,win,0.91,2.30,Friday,1744,-116.68,✅,lose,-1.00,UN
AWAY,January,242.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Friday,1745,-115.77,✅,lose,-1.00,UN
AWAY,January,215,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Friday,1746,-114.86,✅,lose,-1.00,OV
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Friday,1747,-113.95,✅,lose,-1.00,OV
AWAY,January,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Friday,1748,-114.95,❌,lose,-1.00,UN
AWAY,January,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Friday,1749,-115.95,❌,win,1,UN
HOME,January,231,NBA,,1.00,SPREAD,1.91,win,0.91,6.25,Friday,1750,-115.04,✅,lose,-1.00,OV
AWAY,January,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Friday,1751,-116.04,❌,win,2.05,UN
HOME,January,228,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,1752,-117.04,❌,win,1.3,UN
HOME,January,240.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.20,Saturday,1753,-116.13,✅,lose,-1.00,OV
AWAY,January,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Saturday,1754,-117.13,❌,win,2.05,UN
HOME,January,215,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Saturday,1755,-118.13,❌,win,1,UN
AWAY,January,231,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Saturday,1756,-117.22,✅,lose,-1.00,UN
HOME,January,233.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Saturday,1757,-116.31,✅,lose,-1.00,UN
AWAY,January,241,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.50,Saturday,1758,-115.40,✅,lose,-1.00,OV
HOME,January,235,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.10,Sunday,1759,-114.49,✅,lose,-1.00,OV
HOME,January,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.25,Sunday,1760,-115.49,❌,lose,-1.00,UN
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Sunday,1761,-114.58,✅,lose,-1.00,OV
AWAY,January,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Sunday,1762,-115.58,❌,win,1.1,OV
HOME,January,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Sunday,1763,-116.58,❌,lose,-1.00,UN
HOME,January,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Sunday,1764,-117.58,❌,lose,-1.00,OV
AWAY,January,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Sunday,1765,-118.58,❌,win,1.5,UN
HOME,January,230,NBA,,1.00,SPREAD,1.91,win,0.91,7.00,Sunday,1766,-117.67,✅,lose,-1.00,UN
HOME,January,237,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Sunday,1767,-118.67,❌,win,2.2,UN
AWAY,January,222.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,6.00,Sunday,1768,-119.67,❌,win,5,UN
HOME,January,249.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,5.25,Monday,1769,-120.67,❌,win,4.25,UN
AWAY,January,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.70,Monday,1770,-121.67,❌,win,1.7,UN
AWAY,January,218,NBA,,1.00,SPREAD,1.91,win,0.91,2.30,Monday,1771,-120.76,✅,lose,-1.00,UN
HOME,January,219,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Monday,1772,-119.85,✅,lose,-1.00,UN
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Monday,1773,-120.85,❌,win,3,OV
HOME,January,223.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.75,Monday,1774,-119.94,✅,lose,-1.00,OV
HOME,January,233,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.05,Tuesday,1775,-119.03,✅,lose,-1.00,OV
HOME,January,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.25,Tuesday,1776,-120.03,❌,lose,-1.00,OV
HOME,January,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Tuesday,1777,-121.03,❌,win,1.05,OV
AWAY,January,235,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Tuesday,1778,-120.12,✅,lose,-1.00,OV
HOME,January,230,NBA,,1.00,SPREAD,1.91,win,0.91,3.50,Tuesday,1779,-119.21,✅,lose,-1.00,UN
AWAY,January,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Tuesday,1780,-120.21,❌,win,0.95,OV
HOME,January,225.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.50,Tuesday,1781,-119.30,✅,lose,-1.00,UN
HOME,January,220.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.00,Wednesday,1782,-120.30,❌,win,1,UN
HOME,January,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Wednesday,1783,-121.30,❌,win,0.95,OV
HOME,January,241,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Wednesday,1784,-120.39,✅,lose,-1.00,OV
HOME,January,232,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Wednesday,1785,-119.48,✅,lose,-1.00,UN
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Wednesday,1786,-120.48,❌,win,0.95,OV
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Wednesday,1787,-121.48,❌,win,3.5,UN
HOME,January,226.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.90,Wednesday,1788,-120.57,✅,lose,-1.00,UN
HOME,January,228.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.75,Thursday,1789,-119.66,✅,lose,-1.00,OV
HOME,January,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Thursday,1790,-120.66,❌,lose,-1.00,UN
AWAY,January,222,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Thursday,1791,-119.75,✅,lose,-1.00,UN
AWAY,January,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,1792,-118.84,✅,lose,-1.00,UN
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Thursday,1793,-117.93,✅,lose,-1.00,UN
HOME,January,237,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Thursday,1794,-117.02,✅,lose,-1.00,OV
HOME,January,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Thursday,1795,-116.11,✅,lose,-1.00,OV
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Thursday,1796,-117.11,❌,win,1.5,UN
HOME,January,234.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.35,Thursday,1797,-118.11,❌,win,1.35,OV
HOME,January,241,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.55,Friday,1798,-117.20,✅,lose,-1.00,OV
HOME,January,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Friday,1799,-118.20,❌,win,1.2,UN
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Friday,1800,-117.29,✅,lose,-1.00,UN
HOME,January,212.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Friday,1801,-118.29,❌,win,1.15,UN
HOME,January,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Friday,1802,-117.38,✅,lose,-1.00,UN
HOME,January,234.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.25,Friday,1803,-116.47,✅,lose,-1.00,OV
HOME,January,241.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.30,Saturday,1804,-115.56,✅,lose,-1.00,OV
AWAY,January,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Saturday,1805,-114.65,✅,lose,-1.00,OV
HOME,January,226,NBA,,1.00,SPREAD,1.91,win,0.91,7.00,Saturday,1806,-113.74,✅,lose,-1.00,UN
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Saturday,1807,-114.74,❌,win,0.95,UN
AWAY,January,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Saturday,1808,-115.74,❌,win,3.75,OV
HOME,January,234,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Saturday,1809,-116.74,❌,lose,-1.00,OV
HOME,January,237.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.35,Saturday,1810,-115.83,✅,lose,-1.00,OV
HOME,January,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Saturday,1811,-116.83,❌,lose,-1.00,OV
HOME,January,223.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.25,Saturday,1812,-115.92,✅,lose,-1.00,OV
AWAY,January,230.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.40,Sunday,1813,-116.92,❌,win,1.4,OV
HOME,January,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Sunday,1814,-116.01,✅,lose,-1.00,OV
HOME,January,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.75,Sunday,1815,-117.01,❌,lose,-1.00,UN
AWAY,January,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Sunday,1816,-116.10,✅,lose,-1.00,UN
